STEMAGG,STEMAGGT,STEMTYP,STEMTYPT,STEMOCC,STEMOCCT
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0020,0020-COMMUNITY PLANNING
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0028,0028-ENVIRONMENTAL PROTECTION SPECIALIST
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0072,0072-FINGERPRINT IDENTIFICATION
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0101,0101-SOCIAL SCIENCE
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0110,0110-ECONOMIST
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0130,0130-FOREIGN AFFAIRS
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0131,0131-INTERNATIONAL RELATIONS
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0132,0132-INTELLIGENCE
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0136,0136-INTERNATIONAL COOPERATION
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0140,0140-WORKFORCE RESEARCH AND ANALYSIS
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0150,0150-GEOGRAPHY
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0160,0160-CIVIL RIGHTS ANALYSIS
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0180,0180-PSYCHOLOGY
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0184,0184-SOCIOLOGY
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0190,0190-GENERAL ANTHROPOLOGY
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0193,0193-ARCHEOLOGY
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0401,0401-GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0403,0403-MICROBIOLOGY
1,STEM OCCUPATIONS,01,SCIENCE OCCUPATIONS,0405,0405-PHARMACOLOGY
